route_id,route_key,spacegroup,scaffold,scaffold_id,route_train_count,data_package,checkpoint
R054,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,500,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R055,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,133,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R056,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,231,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R057,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,450,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R058,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,224,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R059,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,557,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R060,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,138,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R061,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,237,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R062,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,394,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R063,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,234,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
