scaffold_id,space_group,crystal_system,K,wyckoff_sequence,D_rep,rho,support_count,released_train_count,val_count,test_count,median_n_atoms,serialized_lattice_dim,n_free_wyckoff_coords,packed_feature_dim
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,18,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,58,0.261261,355,290,32,33,72,6,54,60
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,19,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,61,0.260684,181,153,14,14,76,6,57,63
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,20,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,64,0.260163,220,183,19,18,80,6,60,66
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,21,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,67,0.25969,146,124,11,11,84,6,63,69
SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,14,monoclinic,22,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,70,0.259259,173,149,10,14,88,6,66,72
SG15|2e;2e;4f;4f;4f;4f,15,monoclinic,6,2e;2e;4f;4f;4f;4f,18,0.142857,204,165,20,19,40,6,14,20
SG15|2e;2e;4f;4f;4f;4f;4f,15,monoclinic,7,2e;2e;4f;4f;4f;4f;4f,21,0.14,185,150,17,18,48,6,17,23
SG15|2e;2e;4f;4f;4f;4f;4f;4f;4f;4f,15,monoclinic,10,2e;2e;4f;4f;4f;4f;4f;4f;4f;4f,30,0.135135,136,111,12,13,72,6,26,32
SG15|2e;4f;4f;4f;4f;4f;4f,15,monoclinic,7,2e;4f;4f;4f;4f;4f;4f,23,0.141975,161,130,17,14,52,6,19,25
SG38|1a;1a;1b;1b;2c;2c;2d;2e;4f,38,orthorhombic,9,1a;1a;1b;1b;2c;2c;2d;2e;4f,18,0.176471,560,448,56,56,32,6,15,21
SG38|1a;1a;1b;1b;2d;2e,38,orthorhombic,6,1a;1a;1b;1b;2d;2e,11,0.203704,1095,877,109,109,16,6,8,14
SG61|8c;8c;8c;8c;8c;8c;8c;8c,61,orthorhombic,8,8c;8c;8c;8c;8c;8c;8c;8c,27,0.136364,204,164,20,20,64,6,24,30
SG61|8c;8c;8c;8c;8c;8c;8c;8c;8c;8c,61,orthorhombic,10,8c;8c;8c;8c;8c;8c;8c;8c;8c;8c,33,0.134146,155,128,13,14,80,6,30,36
SG62|4a;4c;4c;4c;4c;8d,62,orthorhombic,6,4a;4c;4c;4c;4c;8d,14,0.155556,161,129,15,17,28,6,11,17
SG62|4c;4c;4c;4c,62,orthorhombic,4,4c;4c;4c;4c,11,0.203704,198,158,20,20,16,6,8,14
SG62|4c;4c;4c;4c;4c;4c,62,orthorhombic,6,4c;4c;4c;4c;4c;4c,15,0.192308,175,141,17,17,24,6,12,18
SG62|4c;4c;4c;4c;4c;4c;4c,62,orthorhombic,7,4c;4c;4c;4c;4c;4c;4c,17,0.188889,376,304,35,37,28,6,14,20
SG62|4c;4c;4c;4c;4c;4c;4c;4c;4c,62,orthorhombic,9,4c;4c;4c;4c;4c;4c;4c;4c;4c,21,0.184211,173,142,15,16,36,6,18,24
SG62|4c;4c;4c;4c;4c;8d,62,orthorhombic,6,4c;4c;4c;4c;4c;8d,16,0.177778,264,213,27,24,28,6,13,19
SG62|4c;4c;4c;4c;4c;8d;8d,62,orthorhombic,7,4c;4c;4c;4c;4c;8d;8d,19,0.166667,151,122,14,15,36,6,16,22
SG62|4c;4c;4c;4c;8d;8d,62,orthorhombic,6,4c;4c;4c;4c;8d;8d,17,0.166667,313,252,31,30,32,6,14,20
SG62|4c;4c;4c;8d;8d;8d,62,orthorhombic,6,4c;4c;4c;8d;8d;8d,18,0.157895,194,158,18,18,36,6,15,21
SG62|4c;4c;8d,62,orthorhombic,3,4c;4c;8d,10,0.185185,201,161,20,20,16,6,7,13
SG63|2c;2c,63,orthorhombic,2,2c;2c,5,0.092593,186,149,18,19,16,6,4,10
SG63|2c;2c;4f;4f;4f,63,orthorhombic,5,2c;2c;4f;4f;4f,11,0.107843,135,109,13,13,32,6,8,14
SG71|1a;1b;2e,71,orthorhombic,3,1a;1b;2e,4,0.133333,1818,1454,182,182,8,6,1,7
SG71|1a;1d;2g,71,orthorhombic,3,1a;1d;2g,4,0.133333,299,239,30,30,8,6,1,7
SG107|1a;1a;1a;2b,107,tetragonal,4,1a;1a;1a;2b,6,0.166667,138,111,14,13,10,6,4,10
SG123|1a;1b;1c;1d;2e;2f;4j;4k;4l;4m;4n;4o,123,tetragonal,12,1a;1b;1c;1d;2e;2f;4j;4k;4l;4m;4n;4o,8,0.078431,307,246,31,30,32,6,6,12
SG123|1c;1d;2h;2h,123,tetragonal,4,1c;1d;2h;2h,4,0.166667,135,108,14,13,6,6,2,8
SG123|1c;2h;2h,123,tetragonal,3,1c;2h;2h,4,0.190476,193,155,20,18,5,6,2,8
SG127|2a;4g;4h,127,tetragonal,3,2a;4g;4h,4,0.111111,268,214,27,27,10,6,2,8
SG129|2a;2b;2c;2c;2c,129,tetragonal,5,2a;2b;2c;2c;2c,5,0.138889,142,114,14,14,10,6,3,9
SG129|2a;2c;2c,129,tetragonal,3,2a;2c;2c,4,0.166667,418,334,41,43,6,6,2,8
SG139|1a;1b;2d,139,tetragonal,3,1a;1b;2d,2,0.066667,1040,832,104,104,8,6,0,6
SG139|1a;2c;2e;2e,139,tetragonal,4,1a;2c;2e;2e,4,0.083333,138,111,14,13,14,6,2,8
SG139|1a;2d;2e,139,tetragonal,3,1a;2d;2e,3,0.083333,788,630,79,79,10,6,1,7
SG139|1a;2e,139,tetragonal,2,1a;2e,3,0.125,126,101,13,12,6,6,1,7
SG139|1a;4f;4i;4j,139,tetragonal,4,1a;4f;4i;4j,4,0.047619,119,95,12,12,26,6,2,8
SG140|2a;2c;4h;8l,140,tetragonal,4,2a;2c;4h;8l,5,0.04902,162,130,16,16,32,6,3,9
SG160|1a;1a;1a;1a,160,trigonal,4,1a;1a;1a;1a,6,0.142857,162,130,16,16,12,6,4,10
SG164|1a;2d;2d,164,trigonal,3,1a;2d;2d,4,0.190476,268,214,26,28,5,6,2,8
SG166|1a;1b;2c,166,trigonal,3,1a;1b;2c,3,0.071429,621,498,62,61,12,6,1,7
SG166|1b;2c;2c;3e;6h,166,trigonal,5,1b;2c;2c;3e;6h,6,0.045455,203,164,20,19,42,6,4,10
SG173|2a;2b;2b;6c;6c;6c,173,hexagonal,6,2a;2b;2b;6c;6c;6c,14,0.179487,200,160,20,20,24,6,12,18
SG186|2a;2b;2b,186,hexagonal,3,2a;2b;2b,5,0.208333,148,119,15,14,6,6,3,9
SG187|1a;1b;2i;3j;3k;6n,187,hexagonal,6,1a;1b;2i;3j;3k;6n,7,0.12963,578,462,58,58,16,6,5,11
SG189|1a;2d;3f;3g,189,hexagonal,4,1a;2d;3f;3g,4,0.121212,262,210,26,26,9,6,2,8
SG189|1b;2c;3f;3g,189,hexagonal,4,1b;2c;3f;3g,4,0.121212,408,327,40,41,9,6,2,8
SG191|1a;2c;3g,191,hexagonal,3,1a;2c;3g,2,0.083333,237,189,24,24,6,6,0,6
SG191|1a;2d,191,hexagonal,2,1a;2d,2,0.133333,133,107,13,13,3,6,0,6
SG193|2b;4d;6g;6g,193,hexagonal,4,2b;4d;6g;6g,4,0.066667,228,183,23,22,18,6,2,8
SG193|4d;6g;6g,193,hexagonal,3,4d;6g;6g,4,0.074074,177,141,17,19,16,6,2,8
SG194|2a;2c;2d,194,hexagonal,3,2a;2c;2d,2,0.083333,335,268,33,34,6,6,0,6
SG194|2a;4f;6h,194,hexagonal,3,2a;4f;6h,4,0.095238,222,178,22,22,12,6,2,8
SG194|2d;6h,194,hexagonal,2,2d;6h,3,0.1,1216,973,122,121,8,6,1,7
SG201|2a;4b;4c;6d;24h,201,cubic,5,2a;4b;4c;6d;24h,4,0.031746,138,111,13,14,40,6,3,9
SG216|1a;1b;1c;1d;6f,216,cubic,5,1a;1b;1c;1d;6f,2,0.015873,1211,969,121,121,40,6,1,7
SG216|1a;1d;4e,216,cubic,3,1a;1d;4e,2,0.025641,171,137,17,17,24,6,1,7
SG216|4e;4e;4e;6f;6g,216,cubic,5,4e;4e;4e;6f;6g,6,0.020408,129,103,13,13,96,6,5,11
SG221|1a;1b;3d,221,cubic,3,1a;1b;3d,1,0.047619,314,262,26,26,5,6,0,6
SG221|1a;3c,221,cubic,2,1a;3c,1,0.055556,1028,822,103,103,4,6,0,6
SG225|1a;2c;6e,225,cubic,3,1a;2c;6e,2,0.017544,181,145,18,18,36,6,1,7
SG227|2a;4d;8e,227,cubic,3,2a;4d;8e,2,0.011494,170,136,17,17,56,6,1,7
SG227|2b;4c;4d;12f,227,cubic,4,2b;4c;4d;12f,2,0.007407,131,106,13,12,88,6,1,7
SG227|2b;4c;8e,227,cubic,3,2b;4c;8e,2,0.011494,144,115,14,15,56,6,1,7
SG230|8a;12c;12d;48h,230,cubic,4,8a;12c;12d;48h,4,0.00823,275,220,27,28,160,6,3,9
